课程名称,课程代码,课程类别,授课语言,计分方式,学分,上课信息,容量/已选,开课学院
生物学原理,BIO103,通识必修课,双语,十三级制,3.0,"1-16周,星期一第3-4节 一教321; 1-15单周,星期三第1-2节 一教321",40/0,生物系
生物学原理,BIO103,通识必修课,双语,十三级制,3.0,"1-16周,星期二第3-4节 一教321; 1-15单周,星期四第1-2节 一教321",40/0,生物系
生物学原理,BIO103,通识必修课,双语,十三级制,3.0,"1-16周,星期三第7-8节 一教321; 1-15单周,星期五第5-6节 一教321",40/1,生物系
生物学原理,BIO103,通识必修课,英文,十三级制,3.0,"1-16周,星期三第7-8节 一教322; 1-15单周,星期五第5-6节 一教322",40/0,生物系
化学原理,CH103,通识必修课,双语,十三级制,4.0,"1-16周,星期三第7-8节 智华楼102; 1-16周,星期五第5-6节 智华楼102",70/0,化学系
化学原理,CH103,通识必修课,双语,十三级制,4.0,"1-16周,星期一第3-4节 智华楼102; 1-16周,星期三第1-2节 智华楼102",70/0,化学系
化学原理,CH103,通识必修课,双语,十三级制,4.0,"1-16周,星期二第3-4节 智华楼104; 1-16周,星期四第1-2节 智华楼104",70/0,化学系
化学原理,CH103,通识必修课,双语,十三级制,4.0,"1-16周,星期二第3-4节 智华楼102; 1-16周,星期四第1-2节 智华楼102",70/1,化学系
化学原理,CH103,通识必修课,双语,十三级制,4.0,"1-16周,星期三第7-8节 智华楼104; 1-16周,星期五第5-6节 智华楼104",70/0,化学系
化学原理,CH103,通识必修课,双语,十三级制,4.0,"1-16周,星期一第3-4节 智华楼202; 1-16周,星期三第1-2节 智华楼202",70/0,化学系
化学原理,CH103,通识必修课,英文,十三级制,4.0,"1-16周,星期三第7-8节 智华楼202; 1-16周,星期五第5-6节 智华楼202",70/0,化学系
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期一第3-4节 一教302",29/5,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期一第5-6节 一教302",29/12,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期二第3-4节 一教302",29/5,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期二第5-6节 一教302",29/2,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期三第3-4节 一教302",29/3,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期三第5-6节 一教302",29/2,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期四第3-4节 一教302",29/6,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期五第3-4节 一教302",29/3,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期二第5-6节 一教220",29/0,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期二第7-8节 一教220",29/3,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期三第3-4节 一教320",29/2,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期三第5-6节 一教320",29/5,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期三第7-8节 一教320",29/4,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期五第3-4节 一教320",29/1,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期五第5-6节 一教320",29/5,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期五第7-8节 一教320",29/1,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期一第3-4节 一教504",29/0,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期一第5-6节 一教504",29/0,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期一第7-8节 一教504",29/2,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期二第1-2节 一教504",29/2,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期二第3-4节 一教504",29/0,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期二第7-8节 一教504",29/0,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期三第1-2节 一教504",29/0,语言中心
EAP,CLE030,通识必修课,英文,十三级制,2.0,"1-16周,星期四第1-2节 一教504",29/1,语言中心
Java程序设计基础,CS110,通识必修课,英文,十三级制,3.0,"1-16周,星期二第1-2节 智华楼306; 1-16周,星期二第3-4节 智华楼509机房",45/0,计算机科学与工程系
C程序设计基础,CS111,通识必修课,英文,十三级制,3.0,"1-16周,星期五第5-6节 智华楼108; 1-16周,星期五第7-8节 智华楼508机房",140/7,计算机科学与工程系
C程序设计基础,CS111,通识必修课,英文,十三级制,3.0,"1周,星期一第7-8节 一教527; 2-16周,星期一第7-8节 智华楼506机房-split-主任务：1-16周,星期五第3-4节 一教110",80/3,计算机科学与工程系
Python程序设计基础,CS112,通识必修课,英文,十三级制,3.0,"1-16周,星期五第5-6节 智华楼305; 1-16周,星期五第7-8节 智华楼510机房",40/3,计算机科学与工程系
Python程序设计基础,CS112,通识必修课,双语,十三级制,3.0,"1-16周,星期一第7-8节 智华楼306; 1-16周,星期一第9-10节 智华楼509机房",40/1,计算机科学与工程系
Python程序设计基础,CS112,通识必修课,双语,十三级制,3.0,"1-16周,星期五第7-8节 智华楼306; 1-16周,星期五第9-10节 智华楼509机房",40/2,计算机科学与工程系
Python程序设计基础,CS112,通识必修课,双语,十三级制,3.0,"1-16周,星期三第5-6节 智华楼509机房; 1-16周,星期三第7-8节 智华楼509机房",40/0,计算机科学与工程系
Python程序设计基础,CS112,通识必修课,双语,十三级制,3.0,"1-16周,星期一第7-8节 智华楼510机房; 1-16周,星期一第9-10节 智华楼510机房",40/6,计算机科学与工程系
Python程序设计基础,CS112,通识必修课,双语,十三级制,3.0,"1-16周,星期二第5-6节 智华楼509机房; 1-16周,星期二第7-8节 智华楼509机房",40/1,计算机科学与工程系
Python程序设计基础,CS112,通识必修课,双语,十三级制,3.0,"1-16周,星期二第7-8节 智华楼510机房; 1-16周,星期二第9-10节 智华楼510机房",40/1,计算机科学与工程系
Python程序设计基础,CS112,通识必修课,双语,十三级制,3.0,"1-16周,星期二第7-8节 智华楼305; 1-16周,星期二第9-10节 智华楼509机房",40/0,计算机科学与工程系
Matlab程序设计基础,CS113,通识必修课,英文,十三级制,3.0,"1-16周,星期一第7-8节 智华楼511机房; 1-16周,星期一第9-10节 智华楼507机房",47/4,计算机科学与工程系
大学地球科学,EOE111,通识必修课,英文,十三级制,3.0,"1-16周,星期一第3-4节 智华楼307; 1-15单周,星期三第1-2节 智华楼307",35/1,地球与空间科学系
大学地球科学,EOE111,通识必修课,双语,十三级制,3.0,"1-16周,星期二第3-4节 智华楼307; 2-16双周,星期四第1-2节 智华楼307",35/1,地球与空间科学系
大学地球科学,EOE111,通识必修课,双语,十三级制,3.0,"1-15单周,星期二第5-6节 智华楼307; 1-16周,星期五第7-8节 智华楼307",35/0,地球与空间科学系
大学地球科学,EOE111,通识必修课,双语,十三级制,3.0,"1-15单周,星期二第1-2节 智华楼307; 1-16周,星期四第3-4节 智华楼307",35/1,地球与空间科学系
大学地球科学,EOE111,通识必修课,双语,十三级制,3.0,"1-15单周,星期一第5-6节 智华楼307; 1-16周,星期三第5-6节 智华楼307",35/0,地球与空间科学系
大学地球科学,EOE111,通识必修课,双语,十三级制,3.0,"1-16周,星期三第7-8节 智华楼307; 2-16双周,星期五第5-6节 智华楼307",35/5,地球与空间科学系
大学地球科学,EOE111,通识必修课,双语,十三级制,3.0,"1-16周,星期三第7-8节 智华楼306; 1-15单周,星期五第5-6节 智华楼306",35/4,地球与空间科学系
大学地球科学,EOE111,通识必修课,双语,十三级制,3.0,"1-16周,星期二第7-8节 智华楼306; 1-15单周,星期五第3-4节 智华楼306",35/0,地球与空间科学系
大学地球科学,EOE111,通识必修课,双语,十三级制,3.0,"1-16周,星期二第7-8节 智华楼307; 2-16双周,星期五第3-4节 智华楼307",35/1,地球与空间科学系
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期一第1-2节 润杨体育馆舞蹈房",32/1,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期一第3-4节 田径场",36/10,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期一第3-4节 游泳馆",36/4,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期一第3-4节 风雨操场篮球场",36/0,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期一第5-6节 综合训练馆与学生活动中心一楼篮球馆",36/0,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期一第5-6节 润杨体育馆羽毛球场",36/2,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期一第7-8节 棒球场",36/3,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期二第1-2节 风雨操场篮球场",36/3,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期二第3-4节 润杨体育馆四楼体能中心",30/1,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期二第3-4节 风雨操场搏击馆",34/0,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期二第3-4节 欣园网球场",36/1,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期二第3-4节 松禾体育场足球场",36/3,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期二第5-6节 润杨体育馆羽毛球场",36/1,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期二第5-6节 沿湖书院舞蹈房",28/2,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期二第5-6节 润杨体育馆舞蹈房",32/1,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期二第5-6节 综合训练馆与学生活动中心一楼篮球馆",36/1,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期二第7-8节 欣园网球场",36/3,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期二第9-10节 沿湖书院舞蹈房",28/6,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期三第1-2节 田径场",36/11,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期三第3-4节 润杨体育馆羽毛球场",36/1,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期三第3-4节 风雨操场搏击馆",34/4,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期三第3-4节 游泳馆",36/1,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期三第5-6节 润杨体育馆四楼体能中心",30/5,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期三第5-6节 田径场",36/2,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期三第5-6节 风雨操场排球场",36/2,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期三第5-6节 综合训练馆与学生活动中心二楼乒乓球馆",32/2,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期三第7-8节 松禾体育场足球场",36/5,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期三第9-10节 综合训练馆与学生活动中心三楼跆拳道馆",36/5,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期四第1-2节 综合训练馆与学生活动中心二楼乒乓球馆",32/2,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期四第1-2节 欣园网球场",36/1,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期四第1-2节 风雨操场搏击馆",34/3,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期四第3-4节 综合训练馆与学生活动中心一楼篮球馆",36/1,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期四第3-4节 润杨体育馆四楼体能中心",36/5,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期四第3-4节 综合训练馆与学生活动中心三楼跆拳道馆",36/2,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期四第9-10节 沿湖书院舞蹈房",28/10,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期五第1-2节 游泳馆",36/5,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期五第1-2节 综合训练馆与学生活动中心一楼篮球馆",36/1,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期五第5-6节 综合训练馆与学生活动中心二楼乒乓球馆",32/4,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期五第3-4节 润杨体育馆四楼体能中心",36/2,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期五第3-4节 田径场",36/2,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期五第5-6节 欣园军事障碍场",36/9,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期五第7-8节 综合训练馆与学生活动中心二楼舞蹈房",24/5,体育中心
体育III,GE231,通识必修课,中文,十三级制,1.0,"1-16周,星期四第3-4节 润杨体育馆舞蹈房",32/1,体育中心
